UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 02:24 ?        00:00:01 /sbin/init splash
root           2       0  0 02:24 ?        00:00:00 [kthreadd]
root           3       2  0 02:24 ?        00:00:00 [rcu_gp]
root           4       2  0 02:24 ?        00:00:00 [rcu_par_gp]
root           5       2  0 02:24 ?        00:00:00 [slub_flushwq]
root           6       2  0 02:24 ?        00:00:00 [netns]
root           8       2  0 02:24 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 02:24 ?        00:00:00 [kworker/u6:0-flush-8:0]
root          10       2  0 02:24 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 02:24 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 02:24 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 02:24 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 02:24 ?        00:00:00 [rcu_sched]
root          15       2  0 02:24 ?        00:00:00 [migration/0]
root          16       2  0 02:24 ?        00:00:00 [idle_inject/0]
root          18       2  0 02:24 ?        00:00:00 [cpuhp/0]
root          19       2  0 02:24 ?        00:00:00 [cpuhp/1]
root          20       2  0 02:24 ?        00:00:00 [idle_inject/1]
root          21       2  0 02:24 ?        00:00:00 [migration/1]
root          22       2  0 02:24 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 02:24 ?        00:00:00 [kworker/1:0-events]
root          24       2  0 02:24 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 02:24 ?        00:00:00 [cpuhp/2]
root          26       2  0 02:24 ?        00:00:00 [idle_inject/2]
root          27       2  0 02:24 ?        00:00:00 [migration/2]
root          28       2  0 02:24 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 02:24 ?        00:00:00 [kworker/2:0H-kblockd]
root          31       2  0 02:24 ?        00:00:00 [kdevtmpfs]
root          32       2  0 02:24 ?        00:00:00 [inet_frag_wq]
root          33       2  0 02:24 ?        00:00:00 [kauditd]
root          34       2  0 02:24 ?        00:00:00 [khungtaskd]
root          35       2  0 02:24 ?        00:00:00 [oom_reaper]
root          36       2  0 02:24 ?        00:00:00 [writeback]
root          37       2  0 02:24 ?        00:00:00 [kcompactd0]
root          38       2  0 02:24 ?        00:00:00 [ksmd]
root          39       2  0 02:24 ?        00:00:00 [khugepaged]
root          45       2  0 02:24 ?        00:00:00 [kworker/2:1-events]
root          86       2  0 02:24 ?        00:00:00 [kintegrityd]
root          87       2  0 02:24 ?        00:00:00 [kblockd]
root          88       2  0 02:24 ?        00:00:00 [blkcg_punt_bio]
root          89       2  0 02:24 ?        00:00:00 [tpm_dev_wq]
root          90       2  0 02:24 ?        00:00:00 [ata_sff]
root          91       2  0 02:24 ?        00:00:00 [md]
root          92       2  0 02:24 ?        00:00:00 [edac-poller]
root          93       2  0 02:24 ?        00:00:00 [devfreq_wq]
root          94       2  0 02:24 ?        00:00:00 [watchdogd]
root          95       2  0 02:24 ?        00:00:00 [kworker/1:1-cgroup_destroy]
root          96       2  0 02:24 ?        00:00:00 [kworker/u6:1-writeback]
root          97       2  0 02:24 ?        00:00:00 [kworker/0:1H-kblockd]
root          99       2  0 02:24 ?        00:00:00 [kswapd0]
root         100       2  0 02:24 ?        00:00:00 [ecryptfs-kthrea]
root         102       2  0 02:24 ?        00:00:00 [kthrotld]
root         103       2  0 02:24 ?        00:00:00 [acpi_thermal_pm]
root         104       2  0 02:24 ?        00:00:00 [kworker/u6:2-flush-8:0]
root         105       2  0 02:24 ?        00:00:00 [scsi_eh_0]
root         106       2  0 02:24 ?        00:00:00 [scsi_tmf_0]
root         107       2  0 02:24 ?        00:00:00 [scsi_eh_1]
root         108       2  0 02:24 ?        00:00:00 [scsi_tmf_1]
root         109       2  0 02:24 ?        00:00:00 [kworker/u6:3-events_unbound]
root         110       2  0 02:24 ?        00:00:00 [vfio-irqfd-clea]
root         111       2  0 02:24 ?        00:00:00 [mld]
root         112       2  0 02:24 ?        00:00:00 [ipv6_addrconf]
root         116       2  0 02:24 ?        00:00:00 [kworker/2:2-events]
root         124       2  0 02:24 ?        00:00:00 [kstrp]
root         127       2  0 02:24 ?        00:00:00 [zswap-shrink]
root         128       2  0 02:24 ?        00:00:00 [kworker/u7:0]
root         133       2  0 02:24 ?        00:00:00 [charger_manager]
root         156       2  0 02:24 ?        00:00:00 [kworker/1:1H-kblockd]
root         177       2  0 02:24 ?        00:00:00 [kworker/0:2-events]
root         178       2  0 02:24 ?        00:00:00 [scsi_eh_2]
root         179       2  0 02:24 ?        00:00:00 [scsi_tmf_2]
root         181       2  0 02:24 ?        00:00:00 [kworker/2:3-cgroup_destroy]
root         185       2  0 02:24 ?        00:00:00 [kworker/2:1H-kblockd]
root         209       2  0 02:24 ?        00:00:00 [jbd2/sda3-8]
root         210       2  0 02:24 ?        00:00:00 [ext4-rsv-conver]
root         249       1  0 02:24 ?        00:00:00 /lib/systemd/systemd-journald
root         267       2  0 02:24 ?        00:00:00 [kworker/1:2-events]
root         283       2  0 02:24 ?        00:00:00 [kworker/0:3-events]
root         284       2  0 02:24 ?        00:00:00 [ipmi-msghandler]
root         292       2  0 02:24 ?        00:00:00 [ttm_swap]
root         293       2  0 02:24 ?        00:00:00 [irq/18-vmwgfx]
root         294       2  0 02:24 ?        00:00:00 [card0-crtc0]
root         295       2  0 02:24 ?        00:00:00 [card0-crtc1]
root         296       2  0 02:24 ?        00:00:00 [card0-crtc2]
root         297       2  0 02:24 ?        00:00:00 [card0-crtc3]
root         298       2  0 02:24 ?        00:00:00 [card0-crtc4]
root         299       2  0 02:24 ?        00:00:00 [card0-crtc5]
root         300       2  0 02:24 ?        00:00:00 [card0-crtc6]
root         301       2  0 02:24 ?        00:00:00 [card0-crtc7]
root         307       1  0 02:24 ?        00:00:00 /lib/systemd/systemd-udevd
root         337       2  0 02:24 ?        00:00:00 [kworker/u6:6-flush-8:0]
root         345       2  0 02:24 ?        00:00:00 [cryptd]
systemd+     607       1  0 02:25 ?        00:00:00 /lib/systemd/systemd-oomd
systemd+     608       1  0 02:25 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     609       1  0 02:25 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         651       1  0 02:25 ?        00:00:00 /usr/libexec/accounts-daemon
root         652       1  0 02:25 ?        00:00:00 /usr/sbin/acpid
avahi        655       1  0 02:25 ?        00:00:00 avahi-daemon: running [lee-VirtualBox.local]
root         656       1  0 02:25 ?        00:00:00 /usr/sbin/cron -f -P
message+     657       1  0 02:25 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         658       1  0 02:25 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         676       1  0 02:25 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         679       1  0 02:25 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         680       1  0 02:25 ?        00:00:01 /usr/libexec/polkitd --no-debug
root         681       1  0 02:25 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       682       1  0 02:25 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         683       1  0 02:25 ?        00:00:01 /usr/lib/snapd/snapd
root         684       1  0 02:25 ?        00:00:00 /usr/libexec/switcheroo-control
root         685       1  0 02:25 ?        00:00:00 /lib/systemd/systemd-logind
root         686       1  0 02:25 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         687       1  0 02:25 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        711     655  0 02:25 ?        00:00:00 avahi-daemon: chroot helper
root         751       1  0 02:25 ?        00:00:00 /usr/sbin/cupsd -l
root         754       1  0 02:25 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         761       1  0 02:25 ?        00:00:00 /usr/sbin/ModemManager
root         823       1  0 02:25 ?        00:00:00 /usr/sbin/gdm3
kernoops     836       1  0 02:25 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     838       1  0 02:25 ?        00:00:00 /usr/sbin/kerneloops
root         905       1  0 02:25 ?        00:00:00 /usr/sbin/cups-browsed
rtkit        952       1  0 02:25 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1090       1  0 02:25 ?        00:00:00 /usr/libexec/upowerd
root        1123       1  0 02:25 ?        00:00:00 /usr/libexec/packagekitd
colord      1287       1  0 02:25 ?        00:00:00 /usr/libexec/colord
root        1315     823  0 02:25 ?        00:00:00 gdm-session-worker [pam/gdm-password]
lee         1326       1  0 02:25 ?        00:00:00 /lib/systemd/systemd --user
