2023-06-08 15:06:19 startup archives unpack
2023-06-08 15:06:20 upgrade openssl:amd64 3.0.2-0ubuntu1.9 3.0.2-0ubuntu1.10
2023-06-08 15:06:20 status half-configured openssl:amd64 3.0.2-0ubuntu1.9
2023-06-08 15:06:20 status unpacked openssl:amd64 3.0.2-0ubuntu1.9
2023-06-08 15:06:20 status half-installed openssl:amd64 3.0.2-0ubuntu1.9
2023-06-08 15:06:20 status triggers-pending man-db:amd64 2.10.2-1
2023-06-08 15:06:20 status unpacked openssl:amd64 3.0.2-0ubuntu1.10
2023-06-08 15:06:20 startup packages configure
2023-06-08 15:06:20 configure openssl:amd64 3.0.2-0ubuntu1.10 <none>
2023-06-08 15:06:20 status unpacked openssl:amd64 3.0.2-0ubuntu1.10
2023-06-08 15:06:20 status half-configured openssl:amd64 3.0.2-0ubuntu1.10
2023-06-08 15:06:20 status installed openssl:amd64 3.0.2-0ubuntu1.10
2023-06-08 15:06:20 trigproc man-db:amd64 2.10.2-1 <none>
2023-06-08 15:06:20 status half-configured man-db:amd64 2.10.2-1
2023-06-08 15:06:20 status installed man-db:amd64 2.10.2-1
2023-06-08 15:06:26 startup archives unpack
2023-06-08 15:06:26 upgrade ca-certificates:all 20211016ubuntu0.22.04.1 20230311ubuntu0.22.04.1
2023-06-08 15:06:26 status half-configured ca-certificates:all 20211016ubuntu0.22.04.1
2023-06-08 15:06:26 status unpacked ca-certificates:all 20211016ubuntu0.22.04.1
2023-06-08 15:06:26 status half-installed ca-certificates:all 20211016ubuntu0.22.04.1
2023-06-08 15:06:26 status triggers-pending man-db:amd64 2.10.2-1
2023-06-08 15:06:26 status unpacked ca-certificates:all 20230311ubuntu0.22.04.1
2023-06-08 15:06:26 startup packages configure
2023-06-08 15:06:26 configure ca-certificates:all 20230311ubuntu0.22.04.1 <none>
2023-06-08 15:06:26 status unpacked ca-certificates:all 20230311ubuntu0.22.04.1
2023-06-08 15:06:26 status half-configured ca-certificates:all 20230311ubuntu0.22.04.1
2023-06-08 15:06:29 status installed ca-certificates:all 20230311ubuntu0.22.04.1
2023-06-08 15:06:29 status triggers-pending ca-certificates:all 20230311ubuntu0.22.04.1
2023-06-08 15:06:29 trigproc man-db:amd64 2.10.2-1 <none>
2023-06-08 15:06:29 status half-configured man-db:amd64 2.10.2-1
2023-06-08 15:06:29 status installed man-db:amd64 2.10.2-1
2023-06-08 15:06:29 trigproc ca-certificates:all 20230311ubuntu0.22.04.1 <none>
2023-06-08 15:06:29 status half-configured ca-certificates:all 20230311ubuntu0.22.04.1
2023-06-08 15:06:29 status installed ca-certificates:all 20230311ubuntu0.22.04.1
2023-06-08 15:06:34 startup archives unpack
2023-06-08 15:06:34 upgrade libctf0:amd64 2.38-4ubuntu2.1 2.38-4ubuntu2.2
2023-06-08 15:06:34 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:34 status half-configured libctf0:amd64 2.38-4ubuntu2.1
2023-06-08 15:06:34 status unpacked libctf0:amd64 2.38-4ubuntu2.1
2023-06-08 15:06:34 status half-installed libctf0:amd64 2.38-4ubuntu2.1
2023-06-08 15:06:34 status unpacked libctf0:amd64 2.38-4ubuntu2.2
2023-06-08 15:06:34 upgrade binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.1 2.38-4ubuntu2.2
2023-06-08 15:06:34 status half-configured binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.1
2023-06-08 15:06:34 status unpacked binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.1
2023-06-08 15:06:34 status half-installed binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.1
2023-06-08 15:06:34 status triggers-pending man-db:amd64 2.10.2-1
2023-06-08 15:06:34 status unpacked binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.2
2023-06-08 15:06:34 upgrade binutils-common:amd64 2.38-4ubuntu2.1 2.38-4ubuntu2.2
2023-06-08 15:06:34 status half-configured binutils-common:amd64 2.38-4ubuntu2.1
